batch_id,crop,farmer,location,quantity_kg,temperature,humidity,quality_grade,transport_distance_km,delay_hours,quality_score
RICE-00000,Rice,F242,Rajahmundry,4001,21.88,54.82,B,195,21.6,77.9
RICE-00001,Chilli,F221,Konaseema,3523,31.54,70.31,C,294,9.4,100.0
RICE-00002,Wheat,F167,Amalapuram,4684,41.43,66.14,B,243,25.0,64.0
RICE-00003,Maize,F266,Kothapeta,4822,25.57,66.84,A,75,21.4,79.5
RICE-00004,Maize,F039,Razole,3672,24.07,84.51,A,268,0.0,89.6
RICE-00005,Chilli,F276,Konaseema,2169,27.82,52.31,B,132,10.2,39.9
RICE-00006,Rice,F255,Kothapeta,3195,23.8,64.73,B,151,11.6,83.1
RICE-00007,Wheat,F151,Konaseema,2412,25.65,68.04,A,171,19.2,79.3
RICE-00008,Rice,F220,Razole,3330,25.82,57.64,C,233,5.7,100.0
RICE-00009,Rice,F156,Razole,4154,23.33,65.28,A,44,5.2,94.5
RICE-00010,Wheat,F081,Kothapeta,2161,29.43,49.0,B,166,13.0,63.0
RICE-00011,Chilli,F240,Amalapuram,2775,28.19,79.1,C,246,22.1,98.6
RICE-00012,Wheat,F074,Konaseema,705,26.56,58.18,B,169,34.9,76.1
RICE-00013,Chilli,F095,Rajahmundry,3814,43.55,85.31,A,89,46.9,57.5
RICE-00014,Wheat,F156,Razole,2704,30.98,64.68,A,26,15.2,83.0
RICE-00015,Chilli,F251,Amalapuram,2568,25.82,75.28,A,169,1.1,77.0
RICE-00016,Wheat,F115,Kothapeta,2895,25.47,64.47,B,213,22.2,100.0
RICE-00017,Rice,F148,Razole,1469,27.52,64.69,A,169,2.6,85.1
RICE-00018,Chilli,F013,Razole,3190,35.48,59.16,B,294,5.3,83.1
RICE-00019,Maize,F035,Kothapeta,3853,20.3,66.19,C,184,6.1,93.5
RICE-00020,Wheat,F017,Amalapuram,2073,30.85,68.18,A,157,11.2,96.4
RICE-00021,Maize,F022,Razole,1090,17.53,57.16,A,26,15.2,91.8
RICE-00022,Rice,F260,Razole,2240,38.96,63.75,B,171,27.7,44.9
RICE-00023,Chilli,F252,Kothapeta,1393,34.88,58.9,A,58,11.9,89.1
RICE-00024,Chilli,F246,Konaseema,2182,29.44,88.0,A,220,1.3,82.5
RICE-00025,Wheat,F017,Kothapeta,3320,27.85,64.1,A,56,19.3,98.6
RICE-00026,Maize,F024,Razole,1010,24.2,80.45,A,272,11.5,78.6
RICE-00027,Chilli,F084,Rajahmundry,3862,38.35,63.04,B,97,57.8,56.1
RICE-00028,Wheat,F170,Kothapeta,1510,25.74,67.59,A,135,4.9,100.0
RICE-00029,Maize,F100,Amalapuram,4526,23.07,51.79,A,52,4.0,100.0
RICE-00030,Maize,F146,Kothapeta,3795,43.11,60.53,A,71,38.5,56.5
RICE-00031,Rice,F052,Konaseema,1726,27.99,67.11,A,277,25.0,73.2
RICE-00032,Rice,F219,Konaseema,3034,23.16,80.86,A,92,13.6,100.0
RICE-00033,Wheat,F094,Razole,998,22.97,67.22,B,158,10.0,92.0
RICE-00034,Chilli,F020,Rajahmundry,948,20.2,78.84,A,294,3.3,84.7
RICE-00035,Rice,F223,Rajahmundry,4802,28.95,71.41,A,190,29.6,75.2
RICE-00036,Chilli,F270,Kothapeta,4110,40.99,81.27,C,22,25.1,39.0
RICE-00037,Chilli,F005,Konaseema,1194,28.16,64.41,A,113,4.7,79.7
RICE-00038,Maize,F131,Rajahmundry,1772,31.83,88.9,B,122,17.7,70.0
RICE-00039,Wheat,F248,Kothapeta,1389,27.44,60.15,A,90,6.6,81.9
RICE-00040,Rice,F212,Amalapuram,2278,28.96,57.34,A,79,24.7,84.0
RICE-00041,Chilli,F257,Rajahmundry,1810,39.04,52.9,A,155,55.3,34.2
RICE-00042,Wheat,F125,Razole,1976,41.61,88.31,B,119,31.3,44.9
RICE-00043,Maize,F112,Razole,2882,41.2,73.19,B,95,34.2,59.8
RICE-00044,Rice,F213,Amalapuram,1350,38.07,61.66,A,129,10.4,94.5
RICE-00045,Chilli,F046,Rajahmundry,4472,24.74,77.49,A,109,1.4,75.9
RICE-00046,Maize,F072,Kothapeta,3774,38.28,71.88,A,76,39.5,65.0
RICE-00047,Chilli,F180,Kothapeta,3922,43.32,84.66,A,141,49.9,32.4
RICE-00048,Wheat,F200,Razole,1262,38.86,49.52,B,283,58.2,42.5
RICE-00049,Chilli,F036,Razole,3686,43.57,62.35,B,156,49.8,58.9
RICE-00050,Chilli,F152,Konaseema,4263,32.61,60.37,C,183,26.8,82.2
RICE-00051,Rice,F110,Amalapuram,1288,26.53,45.26,A,295,15.7,100.0
RICE-00052,Maize,F151,Amalapuram,3880,42.39,75.6,B,187,32.8,44.2
RICE-00053,Maize,F287,Rajahmundry,2109,32.94,62.3,A,74,9.0,90.7
RICE-00054,Maize,F023,Razole,4044,30.13,72.4,A,125,7.2,83.7
RICE-00055,Rice,F298,Amalapuram,2652,20.68,88.6,C,151,16.7,82.5
RICE-00056,Wheat,F135,Razole,4109,37.2,61.47,A,147,58.8,46.3
RICE-00057,Rice,F231,Razole,1163,30.29,60.79,B,53,14.7,53.9
RICE-00058,Wheat,F127,Amalapuram,2250,26.95,66.19,B,40,1.4,66.9
RICE-00059,Wheat,F093,Kothapeta,1730,34.95,74.87,C,111,3.2,79.3
RICE-00060,Chilli,F231,Rajahmundry,1617,27.8,59.33,A,275,18.4,48.4
RICE-00061,Wheat,F206,Kothapeta,1887,26.86,58.69,A,218,20.9,71.8
RICE-00062,Maize,F044,Konaseema,2220,23.7,75.57,B,254,2.1,76.3
RICE-00063,Chilli,F211,Razole,1072,29.91,68.79,B,60,18.7,76.8
RICE-00064,Maize,F226,Kothapeta,3681,29.38,44.55,A,130,6.7,70.1
RICE-00065,Maize,F116,Kothapeta,2976,27.07,52.75,B,178,12.2,74.9
RICE-00066,Chilli,F277,Razole,4231,23.05,80.01,A,135,26.2,100.0
RICE-00067,Maize,F192,Rajahmundry,3672,27.65,69.02,A,130,20.1,89.9
RICE-00068,Rice,F100,Amalapuram,1170,26.65,57.38,B,114,20.0,71.6
RICE-00069,Maize,F004,Kothapeta,814,20.33,63.3,A,24,31.1,79.0
RICE-00070,Chilli,F202,Konaseema,2402,19.64,65.13,A,258,5.0,79.6
RICE-00071,Rice,F063,Razole,2665,29.83,72.36,C,280,2.1,68.5
RICE-00072,Maize,F227,Kothapeta,1581,13.99,51.42,B,33,4.8,68.5
RICE-00073,Rice,F158,Amalapuram,4019,28.03,56.59,B,129,9.5,95.2
RICE-00074,Wheat,F140,Razole,3117,44.57,67.73,A,160,32.1,60.2
RICE-00075,Maize,F049,Kothapeta,3865,33.54,64.0,C,237,9.9,63.6
RICE-00076,Maize,F213,Kothapeta,990,24.53,70.72,A,296,6.6,79.4
RICE-00077,Rice,F050,Kothapeta,4167,37.93,52.7,A,130,44.4,61.5
RICE-00078,Wheat,F125,Amalapuram,1427,25.02,68.57,A,227,15.5,50.4
RICE-00079,Wheat,F251,Konaseema,2517,27.57,75.92,B,281,6.0,79.4
RICE-00080,Chilli,F276,Rajahmundry,2477,30.68,69.87,C,250,17.9,93.0
RICE-00081,Maize,F296,Konaseema,4192,42.1,66.39,B,94,59.1,60.3
RICE-00082,Rice,F287,Amalapuram,1745,31.98,64.04,B,247,4.3,100.0
RICE-00083,Chilli,F167,Razole,1583,22.03,56.65,A,129,7.1,98.8
RICE-00084,Wheat,F060,Konaseema,2028,28.47,64.28,A,15,10.3,100.0
RICE-00085,Wheat,F251,Razole,2123,31.61,77.6,A,230,1.1,100.0
RICE-00086,Rice,F240,Razole,1317,30.3,63.81,A,252,4.6,91.4
RICE-00087,Maize,F297,Razole,1293,36.58,56.1,A,109,12.7,82.4
RICE-00088,Chilli,F195,Amalapuram,1541,23.18,60.08,B,140,2.5,94.6
RICE-00089,Chilli,F043,Konaseema,2603,40.82,67.01,B,115,36.9,58.2
RICE-00090,Maize,F151,Rajahmundry,2045,22.03,61.26,B,43,0.3,81.6
